EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
3-MAX-FAST-REDUCED-SPEED0,1,220,true,0,3000000,146000,243500,80.0-18.0,56.0-24.0,null,5,1
3-MAX-FAST-REDUCED-SPEED0,1,225,true,0,2400000,130750,279750,76.0-54.0,112.0-120.0,null,17,1
3-MAX-FAST-REDUCED-SPEED0,1,230,true,0,3000000,191250,313250,194.0-108.0,148.0-120.0,null,2,1
3-MAX-FAST-REDUCED-SPEED0,1,261,true,0,3000000,169000,338250,74.0-98.0,152.0-120.0,null,10,1
3-MAX-FAST-REDUCED-SPEED0,1,262,true,0,3600000,274000,371750,74.0-98.0,52.0-120.0,null,6,1
3-MAX-FAST-REDUCED-SPEED0,1,221,true,0,2400000,217250,379750,80.0-18.0,98.0-94.0,null,16,1
3-MAX-FAST-REDUCED-SPEED0,1,238,true,0,1800000,240000,384500,160.0-98.0,104.0-120.0,null,1,1
3-MAX-FAST-REDUCED-SPEED0,1,222,true,0,2400000,277750,417750,80.0-18.0,26.0-58.0,null,18,1
3-MAX-FAST-REDUCED-SPEED0,1,237,true,0,1800000,136250,422250,160.0-98.0,52.0-120.0,null,7,1
3-MAX-FAST-REDUCED-SPEED0,0,264,false,0,3600000,222000,423000,74.0-98.0,74.0-98.0,262,14,0
3-MAX-FAST-REDUCED-SPEED0,1,239,true,0,1800000,319250,439250,160.0-98.0,172.0-120.0,null,15,1
3-MAX-FAST-REDUCED-SPEED0,0,242,false,0,1800000,194250,465500,160.0-98.0,160.0-98.0,239,4,0
3-MAX-FAST-REDUCED-SPEED0,1,236,true,0,3000000,247750,468750,160.0-94.0,60.0-120.0,null,13,1
3-MAX-FAST-REDUCED-SPEED0,1,229,true,0,3000000,193500,521000,194.0-104.0,60.0-120.0,null,19,1
3-MAX-FAST-REDUCED-SPEED0,0,240,false,0,1800000,54000,631000,160.0-98.0,160.0-98.0,239,0,0
3-MAX-FAST-REDUCED-SPEED0,0,228,false,0,2400000,302750,720250,76.0-54.0,76.0-54.0,224,9,0
3-MAX-FAST-REDUCED-SPEED0,1,232,true,0,2400000,564250,731250,194.0-108.0,100.0-120.0,null,10,1
3-MAX-FAST-REDUCED-SPEED0,1,224,true,0,2400000,542250,767750,76.0-54.0,180.0-120.0,null,16,1
