EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-CONS-LARGE-TTL0,1,7,true,0,2400000,0,432250,122.0-34.0,52.0-120.0,null,9,1
1-CONS-LARGE-TTL0,1,20,true,0,3000000,106000,434500,58.0-104.0,64.0-120.0,null,8,1
1-CONS-LARGE-TTL0,1,22,true,0,3000000,109250,467750,58.0-104.0,132.0-120.0,null,18,1
1-CONS-LARGE-TTL0,1,37,true,0,1800000,150000,518500,144.0-18.0,88.0-68.0,null,6,1
1-CONS-LARGE-TTL0,1,33,true,0,3000000,137500,549750,176.0-18.0,38.0-24.0,null,12,1
1-CONS-LARGE-TTL0,1,23,true,0,3000000,495000,876000,58.0-104.0,168.0-120.0,null,11,1
1-CONS-LARGE-TTL0,1,9,true,0,1800000,501250,883500,122.0-38.0,160.0-120.0,null,13,1
1-CONS-LARGE-TTL0,1,34,true,0,1800000,593250,978000,176.0-18.0,64.0-38.0,null,4,1
1-CONS-LARGE-TTL0,1,208,true,550500,2950500,618500,983250,168.0-18.0,104.0-34.0,null,19,1
1-CONS-LARGE-TTL0,0,15,false,0,3000000,550750,1300250,106.0-58.0,106.0-58.0,13,2,0
1-CONS-LARGE-TTL0,1,5,true,0,1800000,949500,1321750,122.0-38.0,144.0-120.0,null,12,1
1-CONS-LARGE-TTL0,1,13,true,0,3000000,940250,1342500,106.0-58.0,180.0-120.0,null,8,1
1-CONS-LARGE-TTL0,1,35,true,0,3600000,995500,1400250,176.0-18.0,82.0-64.0,null,7,1
1-CONS-LARGE-TTL0,1,209,true,550500,3550500,1066250,1411000,168.0-18.0,158.0-44.0,null,18,1
1-CONS-LARGE-TTL0,1,204,true,550500,2350500,1171500,1625000,154.0-24.0,60.0-120.0,null,3,1
1-CONS-LARGE-TTL0,0,14,false,0,3000000,167250,1664750,106.0-58.0,106.0-58.0,13,16,0
1-CONS-LARGE-TTL0,1,36,true,0,3000000,1352500,1689750,176.0-18.0,150.0-48.0,null,1,1
