EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-MAX-FAST0,1,31,true,0,3000000,54000,156000,124.0-58.0,96.0-120.0,null,12,1
1-MAX-FAST0,1,35,true,0,2400000,81250,186750,156.0-78.0,136.0-120.0,null,7,1
1-MAX-FAST0,1,48,true,0,3000000,89000,193750,102.0-74.0,172.0-120.0,null,8,1
1-MAX-FAST0,1,29,true,0,1800000,105500,239500,124.0-58.0,80.0-120.0,null,11,1
1-MAX-FAST0,1,47,true,0,3600000,148250,243000,102.0-78.0,48.0-120.0,null,10,1
1-MAX-FAST0,1,34,true,0,3000000,115250,269500,156.0-74.0,88.0-120.0,null,3,1
1-MAX-FAST0,1,36,true,0,3600000,197750,276250,156.0-74.0,184.0-120.0,null,16,1
1-MAX-FAST0,0,40,false,0,1800000,94250,281250,208.0-98.0,208.0-98.0,39,1,0
1-MAX-FAST0,0,32,false,0,3600000,120000,292250,124.0-54.0,124.0-54.0,30,14,0
1-MAX-FAST0,1,30,true,0,3600000,197750,306250,124.0-54.0,132.0-120.0,null,19,1
1-MAX-FAST0,1,39,true,0,1800000,185750,336750,208.0-98.0,52.0-120.0,null,5,1
1-MAX-FAST0,1,21,true,0,2400000,194250,342750,174.0-84.0,84.0-120.0,null,13,1
1-MAX-FAST0,1,24,true,0,1800000,326250,409750,174.0-88.0,160.0-120.0,null,12,1
1-MAX-FAST0,0,26,false,0,1800000,153250,418250,174.0-88.0,174.0-88.0,24,18,0
1-MAX-FAST0,1,45,true,0,3000000,352750,447500,102.0-74.0,108.0-120.0,null,7,1
1-MAX-FAST0,1,23,true,0,3600000,356000,467000,174.0-84.0,120.0-120.0,null,1,1
1-MAX-FAST0,1,33,true,0,1800000,374750,518250,156.0-74.0,48.0-120.0,null,14,1
1-MAX-FAST0,1,22,true,0,1800000,446250,534750,174.0-84.0,180.0-120.0,null,16,1
1-MAX-FAST0,1,46,true,0,1800000,442750,537500,102.0-74.0,108.0-120.0,null,10,1
1-MAX-FAST0,0,44,false,0,3600000,354500,544000,208.0-94.0,208.0-94.0,38,8,0
1-MAX-FAST0,0,25,false,0,1800000,86500,560250,174.0-88.0,174.0-88.0,24,4,0
1-MAX-FAST0,0,27,false,0,3600000,80250,565500,174.0-84.0,174.0-84.0,23,17,0
1-MAX-FAST0,1,38,true,0,3600000,457250,605750,208.0-94.0,80.0-120.0,null,3,1
1-MAX-FAST0,0,43,false,0,3600000,251250,618000,208.0-94.0,208.0-94.0,38,2,0
1-MAX-FAST0,1,291,true,400000,2800000,511500,641250,128.0-18.0,176.0-78.0,null,19,1
1-MAX-FAST0,0,42,false,0,3600000,139500,722250,208.0-94.0,208.0-94.0,38,15,0
1-MAX-FAST0,1,292,true,400000,3400000,638000,729000,128.0-18.0,132.0-68.0,null,7,1
1-MAX-FAST0,1,350,true,560250,3560250,659250,774000,100.0-18.0,152.0-58.0,null,1,1
1-MAX-FAST0,0,54,false,0,3600000,566750,783000,102.0-74.0,102.0-74.0,49,18,0
1-MAX-FAST0,1,49,true,0,3600000,696750,786500,102.0-74.0,148.0-120.0,null,12,1
1-MAX-FAST0,1,3,true,0,2400000,726500,810000,172.0-94.0,180.0-120.0,null,14,1
1-MAX-FAST0,0,6,false,0,2400000,586500,818500,172.0-94.0,172.0-94.0,3,13,0
